Title,Memory,Price (PLN),Raw Price,Price per Unit (PLN/GB)
"Blackview TAB 60 LTE 8,68"" 6/128GB szary",128 GB,399,"Cena: 399,00 zł",3.1171875
"Blackview TAB 60 WiFi 10,1"" 4/128GB szary",128 GB,399,"Cena: 399,00 zł",3.1171875
"HONOR PAD 9 WiFi 12,1"" 8/256GB Space Gray",256 GB,849,"Cena: 849,00 zł",3.31640625
"Blackview TAB 60 LTE 8,68"" 6/128GB niebieski",128 GB,499,"Cena: 499,00 zł",3.8984375
"TCL TAB 11 FE 11"" WiFi 4/128GB szary",128 GB,499,"Cena: 499,00 zł",3.8984375
Lenovo TAB 10'' 4GB/128GB/Android 14 WiFi,128 GB,549,"Cena: 549,00 zł",4.2890625
Xiaomi Redmi Pad 2 4/128GB Gray 90Hz,128 GB,699,"Cena: 699,00 zł",5.4609375
Xiaomi Redmi Pad 2 4/128GB Green 90Hz,128 GB,699,"Cena: 699,00 zł",5.4609375
"uleFone Armor Pad 2 LTE 11"" 8/256GB czarno-żółty",256 GB,1449,"Cena: 1 449,00 zł",5.66015625
"uleFone Armor Pad 2 LTE 11"" 8/256GB czarny",256 GB,1449,"Cena: 1 449,00 zł",5.66015625
OnePlus Pad 3 WiFi 16/512GB Storm Blue 144Hz,512 GB,2899,"Cena: 2 899,00 zł",5.662109375
Samsung Galaxy Tab A9+ X210 WiFi 6/128GB szary,128 GB,749,"Cena: 749,00 zł",5.8515625
Xiaomi Pad 7 8/256GB Grey,256 GB,1599,"Cena: 1 599,00 zł",6.24609375
Xiaomi Pad 7 8/256GB Blue,256 GB,1599,"Cena: 1 599,00 zł",6.24609375
"Apple iPad 10,9"" 10gen 256GB Wi-Fi Srebrny",256 GB,1649,"Cena: 1 649,00 zł",6.44140625
"Apple iPad 10,9"" 10gen 256GB Wi-Fi Niebieski",256 GB,1649,"Cena: 1 649,00 zł",6.44140625
"Apple iPad 10,9"" 10gen 256GB Wi-Fi Różowy",256 GB,1649,"Cena: 1 649,00 zł",6.44140625
Lenovo Idea Tab 8GB/128GB/Android 15/Wi-Fi + PEN,128 GB,849,"Cena: 849,00 zł",6.6328125
OnePlus Pad 3 WiFi 16/512GB Storm Blue 144Hz + Klawiatura,512 GB,3499,"Cena: 3 499,00 zł",6.833984375
